direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
IN,35_54,10,Delaware,DE,42,45,3,0.005179,0.005014,1.0331
IN,35_54,12,Florida,FL,2,1,-1,0.083148,0.080286,1.0356
IN,35_54,13,Georgia,GA,4,7,3,0.045731,0.035212,1.2987
IN,35_54,15,Hawaii,HI,37,38,1,0.007182,0.00723,0.9934
IN,35_54,16,Idaho,ID,34,32,-2,0.009939,0.010419,0.954
IN,35_54,17,Illinois,IL,16,11,-5,0.023876,0.028987,0.8237
IN,35_54,18,Indiana,IN,24,21,-3,0.016254,0.018558,0.8758
IN,35_54,19,Iowa,IA,39,35,-4,0.006855,0.008719,0.7863
IN,35_54,20,Kansas,KS,32,31,-1,0.010488,0.011803,0.8886
IN,35_54,21,Kentucky,KY,26,29,3,0.014751,0.013196,1.1178
IN,35_54,22,Louisiana,LA,31,33,2,0.01204,0.009635,1.2497
IN,35_54,23,Maine,ME,43,43,0,0.004783,0.005353,0.8935
IN,35_54,24,Maryland,MD,17,17,0,0.023808,0.022764,1.0459
IN,35_54,25,Massachusetts,MA,22,16,-6,0.017247,0.022765,0.7576
IN,35_54,26,Michigan,MI,21,20,-1,0.017813,0.018937,0.9406
IN,35_54,27,Minnesota,MN,27,26,-1,0.012773,0.014845,0.8605
IN,35_54,28,Mississippi,MS,33,34,1,0.010029,0.008836,1.135
IN,35_54,29,Missouri,MO,20,19,-1,0.017914,0.019877,0.9012
IN,35_54,30,Montana,MT,45,42,-3,0.004264,0.005381,0.7925
IN,35_54,31,Nebraska,NE,38,40,2,0.007099,0.00668,1.0628
IN,35_54,32,Nevada,NV,14,22,8,0.025179,0.018174,1.3854
IN,35_54,33,New Hampshire,NH,40,39,-1,0.006797,0.006919,0.9824
IN,35_54,34,New Jersey,NJ,15,18,3,0.024766,0.021342,1.1604
IN,35_54,35,New Mexico,NM,36,37,1,0.008816,0.007755,1.1368
IN,35_54,36,New York,NY,9,4,-5,0.032021,0.042999,0.7447
IN,35_54,37,North Carolina,NC,5,5,0,0.044096,0.04158,1.0605
IN,35_54,38,North Dakota,ND,46,47,1,0.004051,0.003987,1.0161
IN,35_54,39,Ohio,OH,11,12,1,0.028499,0.028056,1.0158
IN,35_54,40,Oklahoma,OK,25,27,2,0.015424,0.014082,1.0952
IN,35_54,41,Oregon,OR,19,23,4,0.018852,0.017645,1.0684
IN,35_54,42,Pennsylvania,PA,8,8,0,0.032942,0.03392,0.9712
IN,35_54,44,Rhode Island,RI,47,44,-3,0.003885,0.005312,0.7313
IN,35_54,45,South Carolina,SC,12,14,2,0.02558,0.026448,0.9672
IN,35_54,46,South Dakota,SD,49,50,1,0.003669,0.003431,1.0693
IN,35_54,47,Tennessee,TN,18,13,-5,0.023403,0.026954,0.8682
IN,35_54,48,Texas,TX,1,2,1,0.087952,0.075654,1.1625
IN,35_54,49,Utah,UT,30,28,-2,0.012184,0.013271,0.9181
IN,35_54,50,Vermont,VT,50,48,-2,0.003143,0.003784,0.8305
IN,35_54,51,Virginia,VA,6,6,0,0.037783,0.036756,1.028
IN,35_54,53,Washington,WA,7,10,3,0.033559,0.031354,1.0703
IN,35_54,54,West Virginia,WV,41,41,0,0.006788,0.006268,1.0829
IN,35_54,55,Wisconsin,WI,28,24,-4,0.012446,0.01679,0.7413
IN,35_54,56,Wyoming,WY,48,49,1,0.003684,0.003553,1.0369
IN,55_64,01,Alabama,AL,18,25,7,0.021071,0.016206,1.3002
IN,55_64,02,Alaska,AK,49,46,-3,0.002603,0.004279,0.6084
IN,55_64,04,Arizona,AZ,4,9,5,0.046191,0.033327,1.386
IN,55_64,05,Arkansas,AR,32,36,4,0.010579,0.008614,1.2281
IN,55_64,06,California,CA,5,3,-2,0.040311,0.058687,0.6869
IN,55_64,08,Colorado,CO,15,15,0,0.021479,0.026382,0.8142
IN,55_64,09,Connecticut,CT,28,30,2,0.012491,0.011976,1.0431
IN,55_64,10,Delaware,DE,39,45,6,0.007206,0.005014,1.4373
IN,55_64,12,Florida,FL,1,1,0,0.136167,0.080286,1.696
IN,55_64,13,Georgia,GA,6,7,1,0.036353,0.035212,1.0324
IN,55_64,15,Hawaii,HI,42,38,-4,0.006271,0.00723,0.8674
IN,55_64,16,Idaho,ID,34,32,-2,0.009826,0.010419,0.9431
IN,55_64,17,Illinois,IL,12,11,-1,0.024445,0.028987,0.8433
IN,55_64,18,Indiana,IN,23,21,-2,0.016773,0.018558,0.9038
IN,55_64,19,Iowa,IA,40,35,-5,0.007125,0.008719,0.8172
IN,55_64,20,Kansas,KS,26,31,5,0.012847,0.011803,1.0884
IN,55_64,21,Kentucky,KY,29,29,0,0.012191,0.013196,0.9238
IN,55_64,22,Louisiana,LA,37,33,-4,0.008551,0.009635,0.8875
IN,55_64,23,Maine,ME,41,43,2,0.006873,0.005353,1.2841
IN,55_64,24,Maryland,MD,14,17,3,0.022314,0.022764,0.9802
IN,55_64,25,Massachusetts,MA,27,16,-11,0.012732,0.022765,0.5593
IN,55_64,26,Michigan,MI,22,20,-2,0.018928,0.018937,0.9995
IN,55_64,27,Minnesota,MN,30,26,-4,0.011263,0.014845,0.7587
IN,55_64,28,Mississippi,MS,33,34,1,0.010261,0.008836,1.1612
IN,55_64,29,Missouri,MO,19,19,0,0.019673,0.019877,0.9897
IN,55_64,30,Montana,MT,45,42,-3,0.005011,0.005381,0.9313
IN,55_64,31,Nebraska,NE,43,40,-3,0.005276,0.00668,0.7899
IN,55_64,32,Nevada,NV,13,22,9,0.023695,0.018174,1.3037
IN,55_64,33,New Hampshire,NH,36,39,3,0.009313,0.006919,1.346
IN,55_64,34,New Jersey,NJ,20,18,-2,0.019459,0.021342,0.9118
IN,55_64,35,New Mexico,NM,35,37,2,0.009409,0.007755,1.2132
IN,55_64,36,New York,NY,10,4,-6,0.028835,0.042999,0.6706
IN,55_64,37,North Carolina,NC,3,5,2,0.049225,0.04158,1.1839
IN,55_64,38,North Dakota,ND,50,47,-3,0.002379,0.003987,0.5968
IN,55_64,39,Ohio,OH,17,12,-5,0.021086,0.028056,0.7516
IN,55_64,40,Oklahoma,OK,25,27,2,0.014762,0.014082,1.0482
IN,55_64,41,Oregon,OR,21,23,2,0.019361,0.017645,1.0972
IN,55_64,42,Pennsylvania,PA,11,8,-3,0.024904,0.03392,0.7342
IN,55_64,44,Rhode Island,RI,48,44,-4,0.00288,0.005312,0.5421
IN,55_64,45,South Carolina,SC,9,14,5,0.030071,0.026448,1.137
IN,55_64,46,South Dakota,SD,47,50,3,0.002951,0.003431,0.8602
IN,55_64,47,Tennessee,TN,7,13,6,0.035763,0.026954,1.3268
IN,55_64,48,Texas,TX,2,2,0,0.066765,0.075654,0.8825
IN,55_64,49,Utah,UT,31,28,-3,0.010823,0.013271,0.8155
IN,55_64,50,Vermont,VT,44,48,4,0.00502,0.003784,1.3267
IN,55_64,51,Virginia,VA,8,6,-2,0.030684,0.036756,0.8348
IN,55_64,53,Washington,WA,16,10,-6,0.021118,0.031354,0.6735
IN,55_64,54,West Virginia,WV,38,41,3,0.007994,0.006268,1.2754
IN,55_64,55,Wisconsin,WI,24,24,0,0.015642,0.01679,0.9316
IN,55_64,56,Wyoming,WY,46,49,3,0.003053,0.003553,0.8592
IN,65_PLUS,01,Alabama,AL,25,25,0,0.014396,0.016206,0.8883
IN,65_PLUS,02,Alaska,AK,50,46,-4,0.001599,0.004279,0.3737
IN,65_PLUS,04,Arizona,AZ,3,9,6,0.053856,0.033327,1.616
