state,IN_COUNT_18_24,OUT_COUNT_18_24,POP_AGE_18_24,NET_COUNT_18_24,IN_RATE_18_24,OUT_RATE_18_24,NET_RATE_18_24,IN_COUNT_25_34,OUT_COUNT_25_34,POP_AGE_25_34,NET_COUNT_25_34,IN_RATE_25_34,OUT_RATE_25_34,NET_RATE_25_34,IN_COUNT_35_54,OUT_COUNT_35_54,POP_AGE_35_54,NET_COUNT_35_54,IN_RATE_35_54,OUT_RATE_35_54,NET_RATE_35_54,IN_COUNT_55_64,OUT_COUNT_55_64,POP_AGE_55_64,NET_COUNT_55_64,IN_RATE_55_64,OUT_RATE_55_64,NET_RATE_55_64,IN_COUNT_65_PLUS,OUT_COUNT_65_PLUS,POP_AGE_65_PLUS,NET_COUNT_65_PLUS,IN_RATE_65_PLUS,OUT_RATE_65_PLUS,NET_RATE_65_PLUS,state_name,POP,MED_RENT,MED_HOMEVAL,COST_BURDEN_ALL,VACANCY_RATE,TRANSIT_SHARE,BA_PLUS,LAND_AREA,POP_DENS,GDP,RPP,REAL_PCPI,UNEMP,PRIV_EMP,PRIV_ESTAB,PRIV_AVG_PAY,PERMITS,ELEC_PRICE_TOT,COMMUTE_MED,UNINSURED,CRIME_VIOLENT_RATE,NRI_RISK_INDEX
15,12646,8790,115613,3856,109.3821629055556,76.02951225208238,33.352650653473226,13415,15102,185706,-1687,72.23783830355508,81.32208975477367,-9.084251451218593,10606,10725,366453,-119,28.94232002466892,29.267054710972484,-0.32473468630356417,3334,3201,173509,133,19.215141577670323,18.448610734889833,0.7665308427804898,3331,3608,311305,-277,10.70011724835772,11.58991985351986,-0.88980260516214,Hawaii,1446146,1942,875900,37.68744258857835,5.9421749490284705,4.2980666445243925,37.7574922394315,6422.63,225.16414615196578,91878.0,109.951,52272,3.0,516956,57568,64847.067742709245,3879,38.0,23.720002180668374,3.5,217.7,97.36
16,17927,15929,198965,1998,90.10127409343352,80.0593069132762,10.041967180157314,15946,14401,259321,1545,61.49135627272762,55.53348938188577,5.957866890841852,14678,11898,492965,2780,29.774933311695555,24.135587719209276,5.639345592486282,5224,3345,227570,1879,22.955574109065342,14.698774003603287,8.256800105462055,8670,4660,355551,4010,24.38468742880768,13.106417925979677,11.278269502828005,Idaho,2001619,1384,446400,27.589622208229443,4.759423924273062,0.46163832764031915,33.026560441872775,82643.12,24.220031867141515,99567.3,95.494,52816,3.7,734589,99957,60149.488980913135,17630,9.51,19.00943523750304,9.2,230.6,65.74
17,56452,80140,1168050,-23688,48.330122854329865,68.61007662343222,-20.27995376910235,55595,63390,1737093,-7795,32.00461921152178,36.492001291813395,-4.487382080291614,35261,54547,3269377,-19286,10.78523522983125,16.684218430606197,-5.898983200774949,12996,21818,1568396,-8822,8.286172624770785,13.911027572118266,-5.624854947347481,13432,25994,2274582,-12562,5.905260834737987,11.428033810168198,-5.522772975430211,Illinois,12710158,1322,280700,29.903154434243575,4.209386086683832,6.9718165426465735,39.230752019787,55518.93,228.9337708777889,899125.9,99.958,60333,5.0,5236228,387954,78251.40868636736,20326,12.21,24.92326662825834,6.9,289.2,90.39
18,36311,33542,659956,2769,55.02033468897927,50.82460042790731,4.195734261071951,31007,32527,929702,-1520,33.35154705486274,34.98647953860484,-1.6349324837421022,24004,25367,1704962,-1363,14.078906157439286,14.878337464412697,-0.7994313069734106,8917,7896,832526,1021,10.710776600370439,9.484388475555118,1.226388124815321,10992,9822,1218401,1170,9.02166035648362,8.061385373124283,0.9602749833593374,Indiana,6924275,1104,243500,25.814758918403236,5.217695301082602,0.5899066770855499,30.656260864424574,35826.11,193.27454194719996,412003.4,93.329,55562,4.2,2780349,186716,63313.84257695707,26633,11.38,21.826859795720054,7.5,312.9,72.54
19,21022,17585,321744,3437,65.33765975433886,54.65525386642797,10.682405887910885,12694,17398,410098,-4704,30.95357694989978,42.4240059693049,-11.470429019405119,10124,13117,780148,-2993,12.977024872203735,16.81347641729518,-3.8364515450914443,3788,3975,389525,-187,9.724664655670368,10.204736538091264,-0.48007188242089727,4627,8157,612603,-3530,7.553015574523794,13.315311874084848,-5.762296299561053,Iowa,3241488,981,227300,23.786717799768056,5.709335815476684,0.8258230954060862,32.050781481626764,55857.13,58.03176783339925,206438.9,87.762,60144,3.0,1315014,105436,61489.50445318453,12544,9.34,17.723408749723134,5.4,243.3,62.85
20,21565,22415,297448,-850,72.5000672386434,75.35770958285146,-2.857642344208063,20970,22209,386725,-1239,54.224578188635334,57.428405197491756,-3.2038270088564227,15489,15582,721952,-93,21.454334914232525,21.583152342538007,-0.1288174283054829,6830,4875,344079,1955,19.850092565951424,14.16825787101218,5.681834694939243,5889,4312,533774,1577,11.032759182725274,8.078325283734314,2.954433898990959,Kansas,2970606,1079,238700,25.35840195819571,5.7818129693562454,0.34957619322564826,36.04853689599452,81758.72,36.33381246673137,181599.6,90.068,59172,3.6,1182582,94959,62203.88131647531,9063,11.21,17.841169293510053,8.5,438.7,71.33
21,20545,13510,421989,7035,48.6861031922633,32.01505252506582,16.671050667197488,22437,23020,599428,-583,37.43068391866913,38.40327779149456,-0.9725938728254269,21784,20042,1146108,1742,19.00693477403526,17.48700820516042,1.5199265688748356,6481,6151,574786,330,11.275500795078516,10.701374076612861,0.574126718465655,7842,6429,825850,1413,9.495671126717927,7.784706665859417,1.7109644608585095,Kentucky,4588372,998,226000,24.89611119211603,4.224944288646402,0.6345409656568534,27.944085701608177,39486.34,116.20150158257262,230966.4,90.159,52290,5.1,1693939,152232,60560.830660962405,16264,10.07,21.238819709203717,6.8,213.1,67.97
22,16245,19999,418749,-3754,38.79412249342685,47.75892002130154,-8.964797527874694,15017,14524,591010,493,25.409045532224496,24.574880289673608,0.8341652425508874,17781,26752,1154047,-8971,15.407518064688873,23.181031621762372,-7.773513557073499,4546,5689,551533,-1143,8.242480504339722,10.314885963305914,-2.0724054589661907,4156,5899,819864,-1743,5.06913341724969,7.195095771981695,-2.125962354732004,Louisiana,4597740,1064,223200,29.758540588924074,8.1161111964368,0.9267171134347554,27.836476970300218,43203.9,106.41955934533688,257055.9,88.207,56789,4.4,1615842,149265,61699.661804805175,14310,8.8,21.892235272184937,7.7,519.8,86.16
23,6987,8853,110476,-1866,63.24450559397516,80.13505195698613,-16.89054636301097,9281,5788,172085,3493,53.9326495627161,33.634541069820145,20.298108492895953,7063,3980,343776,3083,20.54535511495858,11.577306152843713,8.968048962114866,3654,2117,204070,1537,17.905620620375363,10.373891311804773,7.531729308570588,5096,3928,329926,1168,15.445887865763838,11.905700066075424,3.540187799688415,Maine,1405012,1210,341900,27.61140052175185,3.6023648315434644,0.5856402824853127,37.11095892107211,30842.92,45.55379322061595,77758.6,97.05,57480,3.1,548061,62343,63279.90286300248,6034,19.66,21.292549844103092,5.5,100.1,67.84
24,30676,43072,530791,-12396,57.79299196859027,81.1468167320094,-23.353824763419123,47591,37389,807590,10202,58.92965489914437,46.29700714471452,12.632647754429847,35160,29288,1643463,5872,21.393849450824266,17.820906220584217,3.572943230240048,11863,13776,813281,-1913,14.586594301354637,16.938794832290437,-2.352200530935802,11145,15985,1099752,-4840,10.134102961394932,14.535095185096276,-4.400992223701343,Maryland,6263220,1721,436300,31.574660384759852,4.8461038699839465,4.9615449672638094,44.6892888911905,9707.24,645.2112031844273,433105.9,104.959,61111,3.0,2238248,192176,75854.89036112174,16823,15.04,30.16243140874337,6.3,420.4,80.87
